11-year-olds : mean mental well-being score (WHO-5)
Young people were asked how often over the last two weeks they had: felt cheerful and in good spirits; calm and relaxed; active and vigorous; woken up feeling fresh and rested; and felt their daily life was filled with things that interested them. Response options ranged from all the time to at no time and were combined to make a score (from zero to 100). Higher scores indicate higher mental well-being. Mean mental well-being score is presented here.
Country,Survey_year,Age_group,Girl,Boy,
Albania,2022,11-year-olds,77,80,
North Macedonia,2022,11-year-olds,77,79,
Armenia,2022,11-year-olds,76,77,
Kyrgyztan,2022,11-year-olds,74,78,
Kazakhstan,2022,11-year-olds,73,77,
Croatia,2022,11-year-olds,70,76,
Greenland,2022,11-year-olds,72,74,
Greece,2022,11-year-olds,69,75,
Portugal,2022,11-year-olds,68,75,
Cyprus,2022,11-year-olds,70,73,
Republic of Moldova,2022,11-year-olds,70,71,
Netherlands,2022,11-year-olds,65,73,
Romania,2022,11-year-olds,66,72,
Belgium (Flemish),2022,11-year-olds,65,72,
Ireland,2022,11-year-olds,66,70,
Austria,2022,11-year-olds,65,70,
Spain,2022,11-year-olds,63,71,
Hungary,2022,11-year-olds,64,70,
Sweden,2022,11-year-olds,62,70,
Malta,2022,11-year-olds,62,71,
Latvia,2022,11-year-olds,63,69,
Luxembourg,2022,11-year-olds,63,69,
Switzerland,2022,11-year-olds,63,68,
Norway,2022,11-year-olds,62,69,
Belgium (French),2022,11-year-olds,63,69,
Canada,2022,11-year-olds,61,70,
Slovakia,2022,11-year-olds,62,68,
Germany,2022,11-year-olds,63,67,
Wales,2022,11-year-olds,62,68,
Lithuania,2022,11-year-olds,61,69,
Scotland,2022,11-year-olds,62,68,
Estonia,2022,11-year-olds,62,67,
Finland,2022,11-year-olds,61,68,
Iceland,2022,11-year-olds,62,66,
France,2022,11-year-olds,60,66,
Slovenia,2022,11-year-olds,59,65,
Italy,2022,11-year-olds,57,67,
Czechia,2022,11-year-olds,57,64,
Poland,2022,11-year-olds,54,63,
England,2022,11-year-olds,52,64,
